,day,number,total
0,0,266,266
1,4,2,268
2,21,1,269
3,35,1,270
4,36,1,271
5,39,4,275
6,48,1,276
7,63,1,277
8,68,1,278
9,84,1,279
10,88,1,280
11,89,8,288
12,90,1,289
13,91,2,291
14,95,2,293
15,96,1,294
16,97,2,296
17,101,2,298
18,102,1,299
19,103,2,301
20,112,1,302
21,124,2,304
22,130,1,305
23,133,2,307
24,144,1,308
25,145,2,310
26,146,2,312
27,147,1,313
28,148,1,314
29,153,1,315
30,158,1,316
31,159,1,317
32,166,1,318
33,169,1,319
34,172,1,320
35,173,1,321
36,179,3,324
37,192,1,325
38,194,2,327
39,195,1,328
40,199,1,329
41,202,1,330
42,208,7,337
43,209,1,338
44,215,1,339
45,216,2,341
46,220,1,342
47,222,1,343
48,224,1,344
49,237,2,346
50,238,3,349
51,239,4,353
52,242,3,356
53,244,1,357
54,249,1,358
55,272,1,359
56,285,1,360
57,293,1,361
58,315,1,362
59,318,1,363
60,320,1,364
61,326,1,365
62,328,1,366
63,335,1,367
64,354,1,368
65,362,2,370
66,367,1,371
67,369,1,372
68,372,1,373
69,374,1,374
70,378,1,375
71,409,1,376
72,412,1,377
73,415,2,379
74,423,1,380
75,425,1,381
76,427,1,382
77,434,2,384
78,448,1,385
79,452,1,386
80,453,1,387
81,454,1,388
82,463,1,389
83,466,1,390
84,467,1,391
85,468,1,392
86,480,1,393
87,484,1,394
88,487,1,395
89,489,1,396
90,490,1,397
91,494,1,398
92,504,2,400
93,505,2,402
94,515,2,404
95,530,1,405
96,531,1,406
97,536,1,407
98,539,1,408
99,549,1,409
100,550,2,411
101,559,1,412
102,571,1,413
103,580,2,415
104,600,3,418
105,602,3,421
106,609,1,422
107,612,2,424
108,613,2,426
109,621,2,428
110,622,3,431
111,623,2,433
112,624,4,437
113,626,2,439
114,633,1,440
115,634,1,441
116,635,1,442
117,637,1,443
118,638,1,444
119,640,1,445
120,642,1,446
121,655,1,447
122,656,2,449
123,660,1,450
124,661,1,451
125,668,1,452
126,670,3,455
127,675,1,456
128,677,2,458
129,678,1,459
130,685,2,461
131,691,1,462
132,692,1,463
133,694,1,464
134,703,1,465
135,707,1,466
136,710,1,467
137,719,2,469
138,724,1,470
139,731,1,471
140,732,2,473
141,737,1,474
142,738,1,475
143,741,1,476
144,746,2,478
145,747,1,479
146,748,1,480
147,753,1,481
148,754,1,482
149,755,2,484
150,756,1,485
151,758,1,486
152,764,4,490
153,765,1,491
154,768,2,493
155,773,1,494
156,774,1,495
157,776,1,496
158,785,1,497
159,788,1,498
160,794,1,499
161,795,1,500
162,797,2,502
163,798,2,504
164,799,1,505
165,802,1,506
166,803,1,507
167,804,1,508
168,805,1,509
169,806,1,510
170,807,1,511
171,809,3,514
172,812,1,515
173,813,1,516
174,814,1,517
175,816,1,518
176,817,1,519
177,818,1,520
178,826,2,522
179,827,1,523
180,830,1,524
181,831,1,525
182,833,1,526
183,837,1,527
184,838,2,529
185,839,2,531
186,840,4,535
187,841,10,545
188,845,1,546
189,847,1,547
190,849,3,550
191,850,1,551
192,853,1,552
193,854,6,558
194,857,3,561
195,858,1,562
196,859,1,563
197,860,3,566
198,861,1,567
199,862,1,568
200,864,4,572
201,865,3,575
202,868,5,580
203,869,1,581
204,870,1,582
205,873,4,586
206,874,1,587
207,876,1,588
208,880,2,590
209,881,2,592
210,885,2,594
211,889,1,595
212,892,1,596
213,893,3,599
214,894,1,600
215,895,1,601
216,896,1,602
217,902,1,603
218,906,2,605
219,907,1,606
220,908,1,607
221,909,3,610
222,910,1,611
223,911,1,612
224,912,1,613
225,913,1,614
226,914,2,616
227,915,1,617
228,916,3,620
229,917,1,621
230,918,1,622
231,919,1,623
232,922,2,625
233,926,1,626
234,927,1,627
235,929,1,628
236,934,1,629
237,936,1,630
238,937,1,631
239,938,1,632
240,939,2,634
241,941,3,637
242,942,2,639
243,945,1,640
244,950,1,641
245,957,1,642
246,958,1,643
247,959,1,644
248,963,2,646
249,966,2,648
250,967,1,649
251,971,1,650
252,972,4,654
253,973,5,659
254,974,2,661
255,975,4,665
256,977,1,666
257,978,1,667
258,979,2,669
259,981,1,670
260,983,1,671
261,985,2,673
262,986,2,675
263,987,6,681
264,990,2,683
265,991,2,685
266,993,2,687
267,995,1,688
268,997,1,689
269,999,2,691
270,1007,1,692
271,1008,5,697
272,1009,4,701
273,1010,1,702
274,1012,1,703
275,1013,1,704
276,1014,1,705
277,1019,1,706
278,1020,1,707
279,1025,2,709
280,1026,6,715
281,1027,7,722
282,1028,1,723
283,1029,2,725
284,1030,2,727
285,1032,4,731
286,1033,1,732
287,1034,1,733
288,1036,2,735
289,1038,1,736
290,1039,1,737
291,1040,1,738
292,1041,2,740
293,1042,2,742
294,1043,2,744
295,1044,1,745
296,1047,2,747
297,1048,2,749
298,1049,1,750
299,1052,1,751
300,1053,1,752
301,1056,1,753
302,1062,1,754
303,1063,1,755
304,1064,1,756
305,1067,1,757
306,1068,1,758
307,1069,3,761
308,1072,2,763
309,1073,2,765
310,1074,2,767
311,1075,1,768
312,1076,3,771
313,1077,2,773
314,1078,2,775
315,1079,1,776
316,1081,2,778
317,1083,1,779
318,1084,4,783
319,1085,1,784
320,1086,1,785
321,1088,4,789
322,1089,2,791
323,1090,2,793
324,1091,2,795
325,1092,1,796
326,1093,1,797
327,1095,2,799
328,1096,1,800
329,1097,2,802
330,1098,4,806
331,1101,3,809
332,1102,4,813
333,1103,2,815
334,1104,2,817
335,1105,5,822
336,1110,2,824
337,1111,1,825
338,1113,1,826
339,1115,1,827
340,1116,3,830
341,1117,1,831
342,1119,1,832
343,1120,1,833
344,1123,2,835
345,1124,2,837
346,1125,1,838
347,1126,1,839
348,1127,3,842
349,1128,1,843
350,1129,2,845
351,1130,2,847
352,1131,2,849
353,1132,4,853
354,1133,3,856
355,1134,1,857
356,1138,3,860
357,1139,2,862
358,1140,3,865
359,1141,1,866
360,1144,1,867
361,1145,5,872
362,1146,2,874
363,1147,3,877
364,1148,4,881
365,1150,1,882
366,1152,1,883
367,1153,1,884
368,1154,1,885
369,1157,1,886
370,1160,1,887
371,1162,2,889
372,1165,3,892
373,1166,2,894
374,1167,1,895
375,1168,2,897
376,1169,1,898
377,1172,1,899
378,1173,2,901
379,1174,1,902
380,1175,2,904
381,1176,3,907
382,1179,2,909
383,1180,1,910
384,1181,1,911
385,1183,2,913
386,1185,2,915
387,1186,1,916
388,1187,1,917
389,1189,2,919
390,1190,1,920
391,1192,1,921
392,1193,2,923
393,1195,3,926
394,1196,1,927
395,1197,2,929
396,1200,4,933
397,1201,2,935
398,1203,1,936
399,1204,2,938
400,1205,1,939
401,1206,1,940
402,1207,4,944
403,1209,3,947
404,1210,3,950
405,1214,3,953
406,1215,2,955
407,1216,1,956
408,1221,1,957
409,1222,1,958
410,1223,1,959
411,1224,2,961
412,1228,2,963
413,1231,1,964
414,1232,1,965
415,1233,2,967
416,1234,1,968
417,1235,1,969
418,1236,2,971
419,1237,1,972
420,1239,1,973
421,1240,2,975
422,1241,1,976
423,1242,1,977
424,1243,1,978
425,1244,2,980
426,1245,1,981
427,1246,1,982
428,1249,1,983
429,1250,1,984
430,1252,2,986
431,1253,1,987
432,1254,1,988
433,1256,1,989
434,1259,4,993
435,1260,1,994
436,1263,1,995
437,1265,4,999
438,1266,5,1004
439,1267,2,1006
440,1268,1,1007
441,1270,2,1009
442,1271,1,1010
443,1272,1,1011
444,1273,3,1014
445,1274,1,1015
446,1277,2,1017
447,1279,1,1018
448,1280,2,1020
449,1281,1,1021
450,1285,2,1023
451,1286,1,1024
452,1287,2,1026
453,1288,2,1028
454,1290,1,1029
455,1291,1,1030
456,1292,1,1031
457,1293,2,1033
458,1299,1,1034
459,1300,1,1035
460,1302,2,1037
461,1303,1,1038
462,1305,1,1039
463,1306,1,1040
464,1307,1,1041
465,1308,1,1042
466,1309,1,1043
467,1310,1,1044
468,1312,1,1045
469,1313,2,1047
470,1314,3,1050
471,1315,3,1053
472,1320,2,1055
473,1321,1,1056
474,1322,2,1058
475,1329,1,1059
476,1334,1,1060
477,1336,1,1061
478,1337,2,1063
479,1338,1,1064
480,1340,1,1065
481,1341,1,1066
482,1349,1,1067
483,1351,2,1069
484,1352,1,1070
485,1354,1,1071
486,1355,1,1072
487,1357,2,1074
488,1362,1,1075
489,1371,1,1076
490,1372,1,1077
491,1373,1,1078
492,1374,1,1079
493,1375,3,1082
494,1376,3,1085
495,1377,1,1086
496,1378,2,1088
497,1384,3,1091
498,1385,2,1093
499,1386,1,1094
500,1388,1,1095
501,1389,1,1096
502,1390,2,1098
503,1391,1,1099
504,1392,2,1101
505,1398,2,1103
506,1399,1,1104
507,1400,1,1105
508,1402,1,1106
509,1403,1,1107
510,1404,1,1108
511,1405,4,1112
512,1407,2,1114
513,1408,1,1115
514,1410,1,1116
515,1412,1,1117
516,1413,2,1119
517,1417,1,1120
518,1418,2,1122
519,1420,1,1123
520,1422,1,1124
521,1423,2,1126
522,1426,1,1127
523,1427,1,1128
524,1428,1,1129
525,1431,1,1130
526,1432,3,1133
527,1433,2,1135
528,1438,1,1136
529,1440,1,1137
530,1441,3,1140
531,1442,1,1141
532,1444,1,1142
533,1446,1,1143
534,1447,1,1144
535,1448,2,1146
536,1449,2,1148
537,1450,1,1149
538,1451,2,1151
539,1457,1,1152
540,1459,1,1153
541,1462,1,1154
542,1463,4,1158
543,1465,2,1160
544,1467,3,1163
545,1469,2,1165
546,1470,3,1168
547,1473,1,1169
548,1474,2,1171
549,1475,1,1172
550,1477,1,1173
551,1479,1,1174
552,1481,3,1177
553,1483,1,1178
554,1484,3,1181
555,1487,3,1184
556,1488,1,1185
557,1489,1,1186
558,1491,1,1187
559,1496,2,1189
560,1497,2,1191
561,1498,1,1192
562,1503,2,1194
563,1504,1,1195
564,1505,1,1196
565,1508,2,1198
566,1511,1,1199
567,1514,1,1200
568,1521,1,1201
569,1523,1,1202
570,1525,1,1203
571,1526,1,1204
572,1530,1,1205
573,1532,1,1206
574,1537,1,1207
575,1538,1,1208
576,1540,2,1210
577,1543,1,1211
578,1545,1,1212
579,1553,1,1213
580,1556,1,1214
581,1557,1,1215
582,1558,1,1216
583,1560,1,1217
584,1563,1,1218
585,1564,1,1219
586,1565,1,1220
587,1567,1,1221
588,1572,1,1222
589,1575,1,1223
590,1576,4,1227
591,1577,1,1228
592,1579,3,1231
593,1582,1,1232
594,1583,1,1233
595,1587,1,1234
596,1588,2,1236
597,1595,1,1237
598,1596,3,1240
599,1597,1,1241
600,1601,1,1242
601,1605,1,1243
602,1607,1,1244
603,1609,2,1246
604,1611,1,1247
605,1613,1,1248
606,1615,1,1249
607,1620,1,1250
608,1623,1,1251
609,1624,1,1252
610,1626,1,1253
611,1627,1,1254
612,1628,2,1256
613,1630,2,1258
614,1636,1,1259
615,1638,1,1260
616,1641,1,1261
617,1642,1,1262
618,1644,2,1264
619,1645,1,1265
620,1646,1,1266
621,1647,1,1267
622,1648,2,1269
623,1649,1,1270
624,1650,1,1271
625,1651,3,1274
626,1652,1,1275
627,1656,1,1276
628,1657,1,1277
629,1663,1,1278
630,1668,1,1279
631,1669,2,1281
632,1670,1,1282
633,1673,1,1283
634,1678,1,1284
635,1679,1,1285
636,1680,1,1286
637,1683,1,1287
638,1685,1,1288
639,1688,1,1289
640,1691,2,1291
641,1692,1,1292
642,1693,1,1293
643,1694,1,1294
644,1695,1,1295
645,1700,1,1296
646,1701,1,1297
647,1710,1,1298
648,1711,1,1299
649,1712,1,1300
650,1713,2,1302
651,1714,1,1303
652,1719,3,1306
653,1721,1,1307
654,1725,1,1308
655,1727,2,1310
656,1729,1,1311
657,1732,2,1313
658,1733,4,1317
659,1734,1,1318
660,1735,2,1320
661,1740,2,1322
662,1741,1,1323
663,1747,1,1324
664,1750,1,1325
665,1754,1,1326
666,1755,2,1328
667,1756,3,1331
668,1757,1,1332
669,1761,1,1333
670,1763,1,1334
671,1764,2,1336
672,1766,2,1338
673,1769,1,1339
674,1770,1,1340
675,1771,1,1341
676,1778,2,1343
677,1780,1,1344
678,1782,1,1345
679,1786,1,1346
680,1787,1,1347
681,1788,2,1349
682,1789,1,1350
683,1790,1,1351
684,1791,1,1352
685,1792,1,1353
686,1795,2,1355
687,1797,3,1358
688,1798,1,1359
689,1799,1,1360
690,1800,1,1361
691,1803,1,1362
692,1804,1,1363
693,1806,3,1366
694,1808,1,1367
695,1809,1,1368
696,1810,2,1370
697,1811,2,1372
698,1812,1,1373
699,1813,4,1377
700,1817,2,1379
701,1819,1,1380
702,1823,5,1385
703,1824,1,1386
704,1825,1,1387
705,1826,2,1389
706,1827,1,1390
707,1830,1,1391
708,1831,1,1392
709,1832,2,1394
710,1833,1,1395
711,1834,1,1396
712,1837,3,1399
713,1838,1,1400
714,1839,2,1402
715,1840,4,1406
716,1841,2,1408
717,1844,1,1409
718,1845,1,1410
719,1846,1,1411
720,1847,2,1413
721,1848,1,1414
722,1849,1,1415
723,1851,1,1416
724,1853,2,1418
725,1857,1,1419
726,1858,3,1422
727,1859,2,1424
728,1860,2,1426
729,1861,6,1432
730,1862,3,1435
731,1863,1,1436
732,1864,1,1437
733,1865,3,1440
734,1869,1,1441
735,1871,1,1442
736,1872,3,1445
737,1873,3,1448
738,1874,1,1449
739,1876,1,1450
740,1878,1,1451
741,1879,2,1453
742,1880,1,1454
743,1887,1,1455
744,1889,1,1456
745,1892,1,1457
746,1893,1,1458
747,1894,1,1459
748,1895,1,1460
749,1896,2,1462
750,1897,3,1465
751,1899,2,1467
752,1900,1,1468
753,1903,2,1470
754,1904,5,1475
755,1908,1,1476
756,1914,1,1477
757,1915,1,1478
758,1916,2,1480
759,1917,2,1482
760,1918,3,1485
761,1919,1,1486
762,1921,1,1487
763,1922,5,1492
764,1923,3,1495
765,1924,3,1498
766,1925,4,1502
767,1928,1,1503
768,1929,2,1505
769,1935,4,1509
770,1937,2,1511
771,1938,1,1512
772,1939,3,1515
773,1941,1,1516
774,1943,1,1517
775,1945,1,1518
776,1946,1,1519
777,1947,1,1520
778,1949,1,1521
779,1950,1,1522
780,1951,2,1524
781,1952,3,1527
782,1953,1,1528
783,1955,1,1529
784,1958,1,1530
785,1959,1,1531
786,1960,1,1532
787,1963,2,1534
788,1964,1,1535
789,1965,1,1536
790,1966,1,1537
791,1967,1,1538
792,1968,1,1539
793,1970,1,1540
794,1972,1,1541
795,1973,1,1542
796,1974,1,1543
797,1977,2,1545
798,1979,1,1546
799,1980,2,1548
800,1981,3,1551
801,1982,1,1552
802,1983,1,1553
803,1984,2,1555
804,1985,1,1556
805,1986,2,1558
806,1987,1,1559
807,1988,2,1561
808,1991,2,1563
809,1993,3,1566
810,1994,3,1569
811,1995,1,1570
812,1996,1,1571
813,1998,1,1572
814,1999,3,1575
815,2000,1,1576
816,2001,2,1578
817,2002,3,1581
818,2003,3,1584
819,2004,1,1585
820,2005,2,1587
821,2006,2,1589
822,2008,2,1591
823,2009,2,1593
824,2010,1,1594
825,2012,1,1595
826,2013,1,1596
827,2014,1,1597
828,2016,3,1600
829,2018,3,1603
830,2019,1,1604
831,2020,1,1605
832,2021,1,1606
833,2022,1,1607
834,2023,2,1609
835,2024,1,1610
836,2025,5,1615
837,2026,2,1617
838,2027,2,1619
839,2028,4,1623
840,2029,3,1626
841,2034,4,1630
842,2035,2,1632
843,2037,4,1636
844,2038,5,1641
845,2039,7,1648
846,2040,2,1650
847,2041,8,1658
848,2042,1,1659
849,2043,1,1660
850,2044,1,1661
851,2045,1,1662
852,2047,4,1666
853,2048,4,1670
854,2049,1,1671
855,2050,1,1672
856,2051,2,1674
857,2053,2,1676
858,2054,2,1678
859,2055,4,1682
860,2056,1,1683
861,2057,1,1684
862,2058,1,1685
863,2061,4,1689
864,2062,3,1692
865,2066,1,1693
866,2070,2,1695
867,2074,1,1696
868,2075,4,1700
869,2076,2,1702
870,2077,1,1703
871,2078,2,1705
872,2079,7,1712
873,2082,3,1715
874,2084,1,1716
875,2085,2,1718
876,2088,1,1719
877,2089,2,1721
878,2090,3,1724
879,2091,8,1732
880,2092,5,1737
881,2093,1,1738
882,2094,3,1741
883,2095,1,1742
884,2096,5,1747
885,2097,2,1749
886,2098,1,1750
887,2099,1,1751
888,2100,2,1753
889,2103,8,1761
890,2104,1,1762
891,2105,2,1764
892,2106,2,1766
893,2107,4,1770
894,2110,4,1774
895,2111,3,1777
896,2118,1,1778
897,2119,4,1782
898,2121,1,1783
899,2123,1,1784
900,2124,4,1788
901,2125,1,1789
902,2126,1,1790
903,2128,1,1791
904,2133,5,1796
905,2134,5,1801
906,2135,1,1802
907,2136,1,1803
908,2138,1,1804
909,2140,8,1812
910,2141,1,1813
911,2142,3,1816
912,2145,2,1818
913,2146,3,1821
914,2147,1,1822
915,2148,2,1824
916,2149,4,1828
917,2155,2,1830
918,2156,5,1835
919,2157,1,1836
920,2160,5,1841
921,2161,4,1845
922,2163,2,1847
923,2166,1,1848
924,2168,3,1851
925,2170,2,1853
926,2173,1,1854
927,2174,1,1855
928,2175,3,1858
929,2176,1,1859
930,2177,3,1862
931,2180,1,1863
932,2181,5,1868
933,2182,5,1873
934,2183,2,1875
935,2184,1,1876
936,2185,1,1877
937,2187,2,1879
938,2188,2,1881
939,2189,3,1884
940,2190,2,1886
941,2191,2,1888
942,2192,2,1890
943,2194,8,1898
944,2195,4,1902
945,2196,1,1903
946,2197,5,1908
947,2198,2,1910
948,2201,1,1911
949,2202,3,1914
950,2203,2,1916
951,2204,1,1917
952,2205,4,1921
953,2208,4,1925
954,2209,7,1932
955,2210,5,1937
956,2211,4,1941
957,2212,5,1946
958,2213,1,1947
959,2214,1,1948
960,2215,7,1955
961,2216,1,1956
962,2217,2,1958
963,2218,1,1959
964,2222,3,1962
965,2223,5,1967
966,2224,5,1972
967,2225,3,1975
968,2226,2,1977
969,2227,2,1979
970,2228,1,1980
971,2229,2,1982
972,2230,6,1988
973,2231,5,1993
974,2232,4,1997
975,2233,2,1999
976,2234,1,2000
977,2235,2,2002
978,2236,2,2004
979,2237,3,2007
980,2238,5,2012
981,2239,6,2018
982,2240,8,2026
983,2242,2,2028
984,2243,8,2036
985,2244,3,2039
986,2245,1,2040
987,2250,3,2043
988,2251,2,2045
989,2256,1,2046
990,2258,5,2051
991,2259,5,2056
992,2260,9,2065
993,2261,10,2075
994,2262,2,2077
995,2264,3,2080
996,2265,6,2086
997,2266,7,2093
998,2267,11,2104
999,2268,8,2112
1000,2271,1,2113
1001,2272,8,2121
1002,2273,3,2124
1003,2274,1,2125
1004,2275,4,2129
1005,2276,1,2130
1006,2277,1,2131
1007,2278,2,2133
1008,2279,7,2140
1009,2280,4,2144
1010,2281,2,2146
1011,2282,1,2147
1012,2285,4,2151
1013,2286,4,2155
1014,2287,2,2157
1015,2288,1,2158
1016,2289,3,2161
1017,2290,1,2162
1018,2291,1,2163
1019,2292,1,2164
1020,2293,8,2172
1021,2294,3,2175
1022,2295,2,2177
1023,2297,1,2178
1024,2300,2,2180
1025,2301,3,2183
1026,2302,1,2184
1027,2303,2,2186
1028,2304,1,2187
1029,2305,1,2188
1030,2306,1,2189
1031,2307,5,2194
1032,2309,3,2197
1033,2310,3,2200
1034,2313,2,2202
1035,2314,2,2204
1036,2315,2,2206
1037,2316,6,2212
1038,2317,6,2218
1039,2320,2,2220
1040,2321,4,2224
1041,2323,2,2226
1042,2324,2,2228
1043,2326,2,2230
1044,2327,2,2232
1045,2328,1,2233
1046,2329,1,2234
1047,2330,2,2236
1048,2331,1,2237
1049,2333,1,2238
1050,2334,1,2239
1051,2335,3,2242
1052,2336,3,2245
1053,2337,3,2248
1054,2340,2,2250
1055,2341,1,2251
1056,2342,1,2252
1057,2343,3,2255
1058,2344,3,2258
1059,2348,1,2259
1060,2349,2,2261
1061,2350,3,2264
1062,2351,3,2267
1063,2352,1,2268
1064,2354,1,2269
1065,2355,5,2274
1066,2356,2,2276
1067,2357,3,2279
1068,2362,3,2282
1069,2363,5,2287
1070,2364,2,2289
1071,2365,4,2293
1072,2366,1,2294
1073,2369,2,2296
1074,2370,1,2297
1075,2371,1,2298
1076,2372,5,2303
1077,2373,3,2306
1078,2376,1,2307
1079,2377,2,2309
1080,2378,3,2312
1081,2379,2,2314
1082,2380,4,2318
1083,2383,1,2319
1084,2384,2,2321
1085,2385,4,2325
1086,2386,5,2330
1087,2387,4,2334
1088,2388,1,2335
1089,2390,1,2336
1090,2391,2,2338
1091,2392,2,2340
1092,2393,4,2344
1093,2397,4,2348
1094,2398,4,2352
1095,2399,5,2357
1096,2400,2,2359
1097,2401,1,2360
1098,2404,2,2362
1099,2405,2,2364
1100,2406,7,2371
1101,2407,4,2375
1102,2411,3,2378
1103,2412,3,2381
1104,2413,1,2382
1105,2414,1,2383
1106,2415,2,2385
1107,2416,1,2386
1108,2417,1,2387
1109,2418,2,2389
1110,2419,3,2392
1111,2421,1,2393
1112,2422,1,2394
1113,2425,4,2398
1114,2426,2,2400
1115,2428,2,2402
1116,2429,2,2404
1117,2433,3,2407
1118,2434,8,2415
1119,2435,5,2420
1120,2436,3,2423
1121,2440,5,2428
1122,2441,1,2429
1123,2442,2,2431
1124,2443,1,2432
1125,2444,1,2433
1126,2447,1,2434
1127,2448,6,2440
1128,2449,3,2443
1129,2450,5,2448
1130,2452,1,2449
1131,2453,1,2450
1132,2454,4,2454
1133,2455,2,2456
1134,2456,3,2459
1135,2457,1,2460
1136,2458,1,2461
1137,2460,1,2462
1138,2461,2,2464
1139,2464,2,2466
1140,2467,1,2467
1141,2468,1,2468
1142,2469,2,2470
1143,2470,1,2471
1144,2471,1,2472
1145,2474,5,2477
1146,2475,3,2480
1147,2476,3,2483
1148,2477,6,2489
1149,2478,2,2491
1150,2480,1,2492
1151,2481,1,2493
1152,2482,3,2496
1153,2483,1,2497
1154,2484,6,2503
1155,2485,3,2506
1156,2488,2,2508
1157,2489,2,2510
1158,2490,8,2518
1159,2491,6,2524
1160,2492,2,2526
1161,2493,1,2527
1162,2495,3,2530
1163,2496,3,2533
1164,2497,4,2537
1165,2498,5,2542
1166,2499,1,2543
1167,2503,2,2545
1168,2504,5,2550
1169,2505,2,2552
1170,2509,1,2553
1171,2510,1,2554
1172,2511,3,2557
1173,2512,3,2560
1174,2513,2,2562
1175,2516,2,2564
1176,2517,1,2565
1177,2518,2,2567
1178,2519,4,2571
1179,2520,4,2575
1180,2521,2,2577
1181,2522,2,2579
1182,2523,1,2580
1183,2525,2,2582
1184,2526,4,2586
1185,2527,5,2591
1186,2530,2,2593
1187,2531,5,2598
1188,2532,4,2602
1189,2533,1,2603
1190,2534,3,2606
1191,2537,6,2612
1192,2538,1,2613
1193,2539,2,2615
1194,2540,3,2618
1195,2541,2,2620
1196,2542,1,2621
1197,2544,2,2623
1198,2545,5,2628
1199,2546,6,2634
1200,2547,1,2635
1201,2548,2,2637
1202,2550,1,2638
1203,2551,3,2641
1204,2552,2,2643
1205,2553,2,2645
1206,2554,1,2646
1207,2556,1,2647
1208,2560,2,2649
1209,2561,3,2652
1210,2564,1,2653
1211,2565,4,2657
1212,2566,4,2661
1213,2567,5,2666
1214,2568,3,2669
1215,2569,1,2670
1216,2570,1,2671
1217,2572,5,2676
1218,2573,2,2678
1219,2574,2,2680
1220,2575,3,2683
1221,2576,8,2691
1222,2577,1,2692
1223,2579,3,2695
1224,2580,4,2699
1225,2581,3,2702
1226,2582,1,2703
1227,2585,1,2704
1228,2586,3,2707
1229,2587,5,2712
1230,2588,2,2714
1231,2589,2,2716
1232,2590,4,2720
1233,2591,2,2722
1234,2592,1,2723
1235,2593,2,2725
1236,2594,1,2726
1237,2595,4,2730
1238,2596,4,2734
1239,2597,3,2737
1240,2600,8,2745
1241,2601,6,2751
1242,2602,2,2753
1243,2603,3,2756
1244,2604,2,2758
1245,2606,1,2759
1246,2607,2,2761
1247,2608,1,2762
1248,2609,5,2767
1249,2610,8,2775
1250,2615,5,2780
1251,2616,2,2782
1252,2620,2,2784
1253,2622,10,2794
1254,2623,7,2801
1255,2625,10,2811
1256,2626,1,2812
1257,2628,3,2815
1258,2629,2,2817
1259,2630,11,2828
1260,2631,15,2843
1261,2632,11,2854
1262,2633,2,2856
1263,2635,2,2858
1264,2636,7,2865
1265,2637,1,2866
1266,2638,5,2871
1267,2639,2,2873
1268,2640,2,2875
1269,2641,1,2876
1270,2642,13,2889
1271,2643,9,2898
1272,2644,16,2914
1273,2645,11,2925
1274,2646,4,2929
1275,2647,1,2930
1276,2648,1,2931
1277,2649,4,2935
1278,2650,4,2939
1279,2651,4,2943
1280,2652,9,2952
1281,2653,3,2955
1282,2654,1,2956
1283,2656,2,2958
1284,2657,5,2963
1285,2658,2,2965
1286,2659,5,2970
1287,2660,10,2980
1288,2663,1,2981
