,day,number,total
806,1442,1,3205
807,1444,2,3207
808,1446,2,3209
809,1447,3,3212
810,1448,3,3215
811,1450,2,3217
812,1452,1,3218
813,1459,1,3219
814,1460,1,3220
815,1462,1,3221
816,1463,2,3223
817,1467,2,3225
818,1469,1,3226
819,1471,2,3228
820,1472,1,3229
821,1476,1,3230
822,1477,1,3231
823,1481,2,3233
824,1482,1,3234
825,1483,2,3236
826,1486,1,3237
827,1487,1,3238
828,1488,1,3239
829,1489,1,3240
830,1490,2,3242
831,1491,1,3243
832,1493,2,3245
833,1494,2,3247
834,1495,1,3248
835,1498,1,3249
836,1503,1,3250
837,1505,2,3252
838,1508,2,3254
839,1509,3,3257
840,1510,1,3258
841,1511,3,3261
842,1512,1,3262
843,1514,1,3263
844,1515,5,3268
845,1516,2,3270
846,1518,1,3271
847,1525,1,3272
848,1529,3,3275
849,1532,1,3276
850,1534,1,3277
851,1536,1,3278
852,1538,1,3279
853,1543,1,3280
854,1546,2,3282
855,1551,1,3283
856,1553,2,3285
857,1554,1,3286
858,1555,1,3287
859,1558,1,3288
860,1559,1,3289
861,1561,5,3294
862,1563,2,3296
863,1564,2,3298
864,1567,2,3300
865,1572,1,3301
866,1573,1,3302
867,1574,1,3303
868,1577,2,3305
869,1579,1,3306
870,1581,1,3307
871,1582,1,3308
872,1585,1,3309
873,1586,1,3310
874,1588,1,3311
875,1589,1,3312
876,1591,1,3313
877,1593,3,3316
878,1594,1,3317
879,1595,1,3318
880,1599,1,3319
881,1600,2,3321
882,1602,2,3323
883,1603,2,3325
884,1605,1,3326
885,1606,14,3340
886,1610,2,3342
887,1612,1,3343
888,1613,1,3344
889,1614,1,3345
890,1615,2,3347
891,1616,1,3348
892,1620,3,3351
893,1622,2,3353
894,1624,1,3354
895,1625,1,3355
896,1627,1,3356
897,1628,2,3358
898,1629,1,3359
899,1630,1,3360
900,1639,1,3361
901,1641,1,3362
902,1644,1,3363
903,1645,2,3365
904,1646,1,3366
905,1647,4,3370
906,1649,4,3374
907,1650,2,3376
908,1651,2,3378
909,1652,3,3381
910,1655,2,3383
911,1656,3,3386
912,1658,1,3387
913,1659,1,3388
914,1663,2,3390
915,1665,2,3392
916,1666,1,3393
917,1667,2,3395
918,1668,2,3397
919,1670,1,3398
920,1671,1,3399
921,1672,1,3400
922,1674,2,3402
923,1675,1,3403
924,1677,2,3405
925,1679,3,3408
926,1680,2,3410
927,1681,2,3412
928,1685,2,3414
929,1690,3,3417
930,1691,1,3418
931,1692,2,3420
932,1693,2,3422
933,1694,1,3423
934,1699,2,3425
935,1700,2,3427
936,1701,4,3431
937,1702,4,3435
938,1710,1,3436
939,1711,1,3437
940,1712,3,3440
941,1713,1,3441
942,1715,1,3442
943,1719,1,3443
944,1721,1,3444
945,1726,1,3445
946,1727,2,3447
947,1728,2,3449
948,1729,1,3450
949,1730,2,3452
950,1732,1,3453
951,1733,3,3456
952,1734,1,3457
953,1735,3,3460
954,1736,1,3461
955,1739,2,3463
956,1740,1,3464
957,1743,2,3466
958,1744,5,3471
959,1749,1,3472
960,1751,3,3475
961,1752,1,3476
962,1753,1,3477
963,1754,6,3483
964,1755,3,3486
965,1757,1,3487
966,1759,2,3489
967,1760,2,3491
968,1761,1,3492
969,1762,1,3493
970,1763,4,3497
971,1764,1,3498
972,1765,1,3499
973,1766,1,3500
974,1767,4,3504
975,1768,2,3506
976,1770,1,3507
977,1771,2,3509
978,1773,1,3510
979,1776,5,3515
980,1777,1,3516
981,1778,2,3518
982,1779,1,3519
983,1780,1,3520
984,1781,2,3522
985,1783,1,3523
986,1785,4,3527
987,1787,2,3529
988,1788,1,3530
989,1789,2,3532
990,1790,1,3533
991,1791,2,3535
992,1792,1,3536
993,1793,1,3537
994,1794,1,3538
995,1795,3,3541
996,1796,1,3542
997,1797,8,3550
998,1798,2,3552
999,1799,4,3556
1000,1803,1,3557
1001,1804,2,3559
1002,1805,4,3563
1003,1806,2,3565
1004,1809,1,3566
1005,1811,1,3567
1006,1812,1,3568
1007,1813,5,3573
1008,1815,1,3574
1009,1817,2,3576
1010,1819,3,3579
1011,1820,4,3583
1012,1823,1,3584
1013,1824,1,3585
1014,1825,1,3586
1015,1826,1,3587
1016,1827,1,3588
1017,1830,1,3589
1018,1831,1,3590
1019,1832,4,3594
1020,1833,6,3600
1021,1834,2,3602
1022,1835,2,3604
1023,1837,1,3605
1024,1838,2,3607
1025,1839,3,3610
1026,1840,4,3614
1027,1841,2,3616
1028,1842,1,3617
1029,1843,1,3618
1030,1844,2,3620
1031,1845,3,3623
1032,1846,3,3626
1033,1847,1,3627
1034,1848,3,3630
1035,1849,1,3631
1036,1851,1,3632
1037,1853,1,3633
1038,1854,1,3634
1039,1856,1,3635
1040,1857,1,3636
1041,1859,2,3638
1042,1861,2,3640
1043,1862,2,3642
1044,1865,2,3644
1045,1866,1,3645
1046,1867,2,3647
1047,1869,1,3648
1048,1872,1,3649
1049,1873,1,3650
1050,1874,1,3651
1051,1875,1,3652
1052,1876,1,3653
1053,1877,1,3654
1054,1879,6,3660
1055,1880,2,3662
1056,1882,4,3666
1057,1883,1,3667
1058,1889,1,3668
1059,1890,1,3669
1060,1891,1,3670
1061,1892,1,3671
1062,1893,2,3673
1063,1894,1,3674
1064,1895,1,3675
1065,1896,2,3677
1066,1900,1,3678
1067,1901,1,3679
1068,1902,2,3681
1069,1903,1,3682
1070,1904,1,3683
1071,1906,1,3684
1072,1907,2,3686
1073,1909,4,3690
1074,1910,2,3692
1075,1914,2,3694
1076,1915,2,3696
1077,1916,2,3698
1078,1917,1,3699
1079,1918,1,3700
1080,1920,1,3701
1081,1921,1,3702
1082,1922,1,3703
1083,1924,2,3705
1084,1925,1,3706
1085,1929,1,3707
1086,1930,1,3708
1087,1933,1,3709
1088,1935,1,3710
1089,1937,1,3711
1090,1938,1,3712
1091,1939,1,3713
1092,1941,1,3714
1093,1943,3,3717
1094,1945,3,3720
1095,1946,1,3721
1096,1949,1,3722
1097,1951,1,3723
1098,1953,2,3725
1099,1956,1,3726
1100,1957,1,3727
1101,1958,1,3728
1102,1959,1,3729
1103,1960,1,3730
1104,1963,3,3733
1105,1964,2,3735
1106,1965,1,3736
1107,1966,2,3738
1108,1967,1,3739
1109,1969,1,3740
1110,1972,2,3742
1111,1973,1,3743
1112,1977,2,3745
1113,1978,3,3748
1114,1980,2,3750
1115,1981,4,3754
1116,1985,1,3755
1117,1986,2,3757
1118,1987,6,3763
1119,1988,5,3768
1120,1992,1,3769
1121,1993,3,3772
1122,1994,1,3773
1123,1995,1,3774
1124,1997,1,3775
1125,1998,2,3777
1126,1999,1,3778
1127,2000,4,3782
1128,2001,1,3783
1129,2002,1,3784
1130,2004,1,3785
1131,2005,3,3788
1132,2006,6,3794
1133,2009,1,3795
1134,2011,2,3797
1135,2012,1,3798
1136,2014,1,3799
1137,2015,1,3800
1138,2016,2,3802
1139,2017,1,3803
1140,2020,1,3804
1141,2021,2,3806
1142,2022,4,3810
1143,2025,1,3811
1144,2026,1,3812
1145,2028,1,3813
1146,2029,1,3814
1147,2030,1,3815
1148,2035,3,3818
1149,2037,1,3819
1150,2038,1,3820
1151,2040,1,3821
1152,2041,2,3823
1153,2042,1,3824
1154,2043,2,3826
1155,2044,1,3827
1156,2048,2,3829
1157,2049,4,3833
1158,2050,1,3834
1159,2051,3,3837
1160,2053,1,3838
1161,2054,2,3840
1162,2055,2,3842
1163,2056,1,3843
1164,2057,2,3845
1165,2059,1,3846
1166,2061,1,3847
1167,2062,1,3848
1168,2064,1,3849
1169,2068,4,3853
1170,2069,1,3854
1171,2070,1,3855
1172,2072,2,3857
1173,2074,1,3858
1174,2075,1,3859
1175,2076,1,3860
1176,2077,1,3861
1177,2078,1,3862
1178,2079,3,3865
1179,2080,1,3866
1180,2082,1,3867
1181,2083,2,3869
1182,2084,2,3871
1183,2085,1,3872
1184,2089,1,3873
1185,2090,1,3874
1186,2091,2,3876
1187,2092,2,3878
1188,2094,1,3879
1189,2096,1,3880
1190,2097,1,3881
1191,2099,1,3882
1192,2101,1,3883
1193,2103,2,3885
1194,2104,2,3887
1195,2106,1,3888
1196,2107,2,3890
1197,2112,2,3892
1198,2114,1,3893
1199,2118,1,3894
1200,2119,2,3896
1201,2120,1,3897
1202,2121,3,3900
1203,2124,1,3901
1204,2125,2,3903
1205,2126,1,3904
1206,2127,1,3905
1207,2128,1,3906
1208,2130,1,3907
1209,2131,1,3908
1210,2132,1,3909
1211,2133,1,3910
1212,2134,1,3911
1213,2136,1,3912
1214,2139,4,3916
1215,2142,4,3920
1216,2143,1,3921
1217,2144,2,3923
1218,2146,3,3926
1219,2147,4,3930
1220,2148,4,3934
1221,2149,1,3935
1222,2150,4,3939
1223,2153,1,3940
1224,2154,1,3941
1225,2158,1,3942
1226,2159,1,3943
1227,2160,1,3944
1228,2161,1,3945
1229,2162,3,3948
1230,2163,5,3953
1231,2166,2,3955
1232,2167,1,3956
1233,2168,2,3958
1234,2169,1,3959
1235,2170,2,3961
1236,2171,1,3962
1237,2173,4,3966
1238,2174,3,3969
1239,2175,2,3971
1240,2176,2,3973
1241,2177,5,3978
1242,2178,2,3980
1243,2180,1,3981
1244,2182,1,3982
1245,2183,2,3984
1246,2185,1,3985
1247,2187,1,3986
1248,2190,1,3987
1249,2191,2,3989
1250,2194,1,3990
1251,2198,1,3991
1252,2199,4,3995
1253,2200,1,3996
1254,2202,1,3997
1255,2203,1,3998
1256,2204,3,4001
1257,2205,1,4002
1258,2207,1,4003
1259,2208,2,4005
1260,2209,1,4006
1261,2211,1,4007
1262,2213,1,4008
1263,2215,1,4009
1264,2216,2,4011
1265,2218,1,4012
1266,2219,1,4013
1267,2222,1,4014
1268,2224,2,4016
1269,2225,2,4018
1270,2226,2,4020
1271,2227,2,4022
1272,2231,2,4024
1273,2232,1,4025
1274,2233,1,4026
1275,2236,1,4027
1276,2237,1,4028
1277,2238,3,4031
1278,2239,2,4033
1279,2243,4,4037
1280,2244,1,4038
1281,2245,2,4040
1282,2246,1,4041
1283,2250,1,4042
1284,2252,4,4046
1285,2253,1,4047
1286,2255,2,4049
1287,2258,1,4050
1288,2263,1,4051
1289,2268,1,4052
1290,2269,3,4055
1291,2271,2,4057
1292,2272,1,4058
1293,2273,1,4059
1294,2274,1,4060
1295,2275,1,4061
1296,2278,2,4063
1297,2279,1,4064
1298,2281,2,4066
1299,2282,1,4067
1300,2285,1,4068
1301,2286,1,4069
1302,2287,1,4070
1303,2289,1,4071
1304,2290,1,4072
1305,2293,3,4075
1306,2294,1,4076
1307,2296,3,4079
1308,2297,1,4080
1309,2300,1,4081
1310,2303,2,4083
1311,2306,1,4084
1312,2307,1,4085
1313,2308,2,4087
1314,2309,2,4089
1315,2310,3,4092
1316,2313,3,4095
1317,2314,1,4096
1318,2315,1,4097
1319,2316,1,4098
1320,2321,1,4099
1321,2322,1,4100
1322,2323,1,4101
1323,2324,1,4102
1324,2328,1,4103
1325,2329,2,4105
1326,2331,2,4107
1327,2333,2,4109
1328,2334,1,4110
1329,2335,5,4115
1330,2336,2,4117
1331,2337,1,4118
1332,2341,5,4123
1333,2342,2,4125
1334,2343,3,4128
1335,2344,1,4129
1336,2345,1,4130
1337,2346,2,4132
1338,2348,5,4137
1339,2349,2,4139
1340,2351,5,4144
1341,2352,8,4152
1342,2355,4,4156
1343,2356,2,4158
1344,2357,7,4165
1345,2358,1,4166
1346,2359,4,4170
1347,2362,17,4187
1348,2363,3,4190
1349,2365,4,4194
1350,2366,2,4196
1351,2368,1,4197
1352,2369,6,4203
1353,2370,2,4205
1354,2371,3,4208
1355,2373,3,4211
1356,2376,1,4212
1357,2378,4,4216
1358,2379,1,4217
1359,2382,1,4218
1360,2384,1,4219
1361,2385,2,4221
1362,2386,3,4224
1363,2387,1,4225
1364,2388,2,4227
1365,2390,4,4231
1366,2391,2,4233
1367,2393,1,4234
1368,2394,2,4236
1369,2397,3,4239
1370,2398,3,4242
1371,2399,3,4245
1372,2400,2,4247
1373,2401,1,4248
1374,2405,7,4255
1375,2406,2,4257
1376,2407,2,4259
1377,2408,1,4260
1378,2409,1,4261
1379,2411,3,4264
1380,2414,2,4266
1381,2415,1,4267
1382,2416,1,4268
1383,2418,3,4271
1384,2419,8,4279
1385,2421,1,4280
1386,2422,1,4281
1387,2424,3,4284
1388,2425,3,4287
1389,2426,1,4288
1390,2427,1,4289
1391,2428,2,4291
1392,2429,2,4293
1393,2430,1,4294
1394,2432,3,4297
1395,2433,2,4299
1396,2434,3,4302
1397,2435,1,4303
1398,2436,1,4304
1399,2441,3,4307
1400,2442,1,4308
1401,2443,1,4309
1402,2444,1,4310
1403,2446,1,4311
1404,2448,1,4312
1405,2449,2,4314
1406,2450,3,4317
1407,2453,3,4320
1408,2454,1,4321
1409,2455,1,4322
1410,2458,1,4323
1411,2460,1,4324
1412,2463,1,4325
1413,2464,2,4327
1414,2465,1,4328
1415,2467,2,4330
1416,2469,4,4334
1417,2470,3,4337
1418,2471,1,4338
1419,2472,2,4340
1420,2474,5,4345
1421,2475,5,4350
1422,2476,1,4351
1423,2477,1,4352
1424,2482,1,4353
1425,2483,3,4356
1426,2484,3,4359
1427,2485,1,4360
1428,2490,1,4361
1429,2491,1,4362
1430,2492,1,4363
1431,2495,1,4364
1432,2496,1,4365
1433,2497,3,4368
1434,2498,1,4369
1435,2499,2,4371
1436,2502,1,4372
1437,2503,1,4373
1438,2504,2,4375
1439,2505,2,4377
1440,2506,2,4379
1441,2511,1,4380
1442,2513,3,4383
1443,2516,1,4384
1444,2517,5,4389
1445,2518,1,4390
1446,2519,1,4391
1447,2520,5,4396
1448,2521,1,4397
1449,2523,3,4400
1450,2524,6,4406
1451,2525,3,4409
1452,2526,1,4410
1453,2527,3,4413
1454,2530,1,4414
1455,2532,1,4415
1456,2533,1,4416
1457,2534,1,4417
1458,2537,1,4418
1459,2539,1,4419
1460,2540,2,4421
1461,2544,4,4425
1462,2545,1,4426
1463,2548,1,4427
1464,2551,1,4428
1465,2553,2,4430
1466,2554,1,4431
1467,2555,1,4432
1468,2558,2,4434
1469,2559,1,4435
1470,2560,3,4438
1471,2561,1,4439
1472,2562,1,4440
1473,2563,1,4441
1474,2566,2,4443
1475,2567,1,4444
1476,2568,1,4445
1477,2569,2,4447
1478,2574,1,4448
1479,2578,2,4450
1480,2579,1,4451
1481,2580,2,4453
1482,2581,4,4457
1483,2583,1,4458
1484,2585,1,4459
1485,2586,1,4460
1486,2587,3,4463
1487,2588,5,4468
1488,2589,1,4469
1489,2590,2,4471
1490,2591,2,4473
1491,2592,3,4476
1492,2593,3,4479
1493,2595,1,4480
1494,2597,2,4482
1495,2599,1,4483
1496,2600,5,4488
1497,2601,3,4491
1498,2602,4,4495
1499,2603,5,4500
1500,2607,2,4502
1501,2608,1,4503
1502,2609,3,4506
1503,2610,5,4511
1504,2614,1,4512
1505,2615,3,4515
1506,2622,1,4516
1507,2623,4,4520
1508,2624,3,4523
1509,2625,1,4524
1510,2628,1,4525
1511,2629,2,4527
1512,2630,2,4529
1513,2631,1,4530
1514,2632,2,4532
1515,2635,3,4535
1516,2636,4,4539
1517,2637,4,4543
1518,2638,5,4548
1519,2639,2,4550
1520,2640,3,4553
1521,2642,3,4556
1522,2643,3,4559
1523,2644,1,4560
1524,2645,2,4562
1525,2646,2,4564
1526,2650,3,4567
1527,2652,1,4568
1528,2653,1,4569
1529,2656,2,4571
1530,2657,1,4572
1531,2658,4,4576
1532,2659,3,4579
1533,2660,1,4580
1534,2663,3,4583
1535,2664,2,4585
