,day,number,total
0,0,10,10
1,3,1,11
2,17,2,13
3,20,1,14
4,21,1,15
5,24,3,18
6,28,1,19
7,31,1,20
8,33,1,21
9,34,1,22
10,39,2,24
11,41,5,29
12,42,1,30
13,43,1,31
14,45,1,32
15,46,1,33
16,48,5,38
17,49,2,40
18,52,1,41
19,55,1,42
20,56,1,43
21,59,1,44
22,60,1,45
23,61,1,46
24,73,2,48
25,83,1,49
26,89,1,50
27,91,1,51
28,95,1,52
29,98,2,54
30,101,1,55
31,103,1,56
32,104,2,58
33,105,4,62
34,109,2,64
35,110,2,66
36,111,2,68
37,112,1,69
38,124,2,71
39,125,2,73
40,126,1,74
41,131,2,76
42,133,2,78
43,137,2,80
44,160,1,81
45,166,1,82
46,174,1,83
47,175,3,86
48,179,2,88
49,182,1,89
50,186,3,92
51,187,1,93
52,188,3,96
53,193,8,104
54,195,1,105
55,196,1,106
56,201,2,108
57,202,1,109
58,203,3,112
59,204,1,113
60,206,1,114
61,209,2,116
62,214,1,117
63,215,1,118
64,217,3,121
65,218,1,122
66,220,1,123
67,221,3,126
68,224,1,127
69,227,1,128
70,228,3,131
71,230,1,132
72,231,2,134
73,235,2,136
74,236,1,137
75,237,1,138
76,238,1,139
77,239,1,140
78,240,1,141
79,241,1,142
80,242,1,143
81,243,1,144
82,244,2,146
83,245,1,147
84,247,1,148
85,248,5,153
86,249,1,154
87,250,1,155
88,251,3,158
89,255,2,160
90,256,1,161
91,257,1,162
92,258,1,163
93,259,2,165
94,261,1,166
95,262,6,172
96,263,5,177
97,264,1,178
98,265,1,179
99,266,5,184
100,268,1,185
101,269,1,186
102,270,1,187
103,272,3,190
104,273,1,191
105,277,1,192
106,278,1,193
107,279,3,196
108,280,2,198
109,283,1,199
110,284,3,202
111,285,2,204
112,287,1,205
113,290,4,209
114,291,6,215
115,292,8,223
116,293,3,226
117,294,2,228
118,295,3,231
119,298,2,233
120,299,1,234
121,300,1,235
122,301,2,237
123,305,1,238
124,306,2,240
125,307,1,241
126,308,2,243
127,311,3,246
128,312,3,249
129,313,12,261
130,314,2,263
131,315,4,267
132,318,6,273
133,319,8,281
134,320,3,284
135,321,7,291
136,322,5,296
137,325,2,298
138,326,5,303
139,327,3,306
140,328,1,307
141,333,1,308
142,334,1,309
143,335,2,311
144,336,3,314
145,339,5,319
146,340,1,320
147,341,1,321
148,342,4,325
149,343,2,327
150,346,3,330
151,347,3,333
152,348,3,336
153,349,4,340
154,350,3,343
155,352,1,344
156,353,1,345
157,354,1,346
158,356,3,349
159,359,2,351
160,360,1,352
161,361,5,357
162,362,2,359
163,363,4,363
164,364,2,365
165,365,1,366
166,367,5,371
167,368,3,374
168,369,1,375
169,370,5,380
170,371,4,384
171,372,2,386
172,374,3,389
173,375,2,391
174,376,3,394
175,377,3,397
176,381,4,401
177,382,1,402
178,383,2,404
179,384,5,409
180,388,1,410
181,389,3,413
182,390,3,416
183,391,1,417
184,394,1,418
185,395,3,421
186,396,7,428
187,397,3,431
188,398,6,437
189,399,1,438
190,402,1,439
191,403,2,441
192,404,9,450
193,405,3,453
194,406,3,456
195,409,1,457
196,410,3,460
197,412,1,461
198,413,5,466
199,416,3,469
200,417,6,475
201,418,5,480
202,419,6,486
203,420,4,490
204,422,1,491
205,423,6,497
206,424,3,500
207,425,1,501
208,427,4,505
209,429,1,506
210,430,1,507
211,431,2,509
212,432,1,510
213,433,1,511
214,434,1,512
215,437,1,513
216,440,4,517
217,441,2,519
218,444,5,524
219,445,4,528
220,446,5,533
221,447,3,536
222,448,2,538
223,451,5,543
224,452,1,544
225,453,2,546
226,454,2,548
227,455,2,550
228,456,1,551
229,458,1,552
230,459,1,553
231,460,1,554
232,462,1,555
233,465,1,556
234,466,1,557
235,467,2,559
236,468,1,560
237,469,1,561
238,473,1,562
239,474,1,563
240,481,1,564
241,488,1,565
242,490,1,566
243,494,1,567
244,496,2,569
245,497,3,572
246,498,1,573
247,505,1,574
248,507,1,575
249,508,1,576
250,526,1,577
251,530,3,580
252,531,1,581
253,532,1,582
254,535,1,583
255,541,1,584
256,545,2,586
257,549,1,587
258,550,4,591
259,551,3,594
260,552,2,596
261,553,2,598
262,560,5,603
263,565,1,604
264,567,2,606
265,568,1,607
266,570,1,608
267,571,4,612
268,572,1,613
269,573,1,614
270,574,1,615
271,577,2,617
272,578,3,620
273,579,8,628
274,580,3,631
275,581,2,633
276,582,1,634
277,584,3,637
278,585,1,638
279,586,1,639
280,587,3,642
281,588,1,643
282,589,2,645
283,591,1,646
284,599,1,647
285,605,2,649
286,606,2,651
287,608,2,653
288,609,1,654
289,610,1,655
290,614,1,656
291,615,1,657
292,616,2,659
293,623,3,662
294,627,1,663
295,628,1,664
296,633,2,666
297,634,1,667
298,635,1,668
299,636,1,669
300,637,1,670
301,640,1,671
302,641,1,672
303,642,1,673
304,643,1,674
305,644,6,680
306,645,1,681
307,648,3,684
308,649,3,687
309,650,7,694
310,655,1,695
311,656,1,696
312,657,2,698
313,658,2,700
314,661,1,701
315,662,2,703
316,663,4,707
317,665,2,709
318,666,2,711
319,668,1,712
320,669,1,713
321,670,2,715
322,671,1,716
323,672,1,717
324,675,1,718
325,676,3,721
326,677,1,722
327,678,1,723
328,679,1,724
329,683,5,729
330,685,2,731
331,686,2,733
332,689,1,734
333,690,3,737
334,692,6,743
335,693,3,746
336,696,5,751
337,697,1,752
338,698,1,753
339,699,3,756
340,700,1,757
341,703,1,758
342,704,2,760
343,705,9,769
344,706,2,771
345,707,2,773
346,708,1,774
347,710,4,778
348,711,7,785
349,712,2,787
350,713,2,789
351,714,3,792
352,718,1,793
353,719,6,799
354,720,1,800
355,721,8,808
356,722,2,810
357,724,9,819
358,725,9,828
359,727,7,835
360,728,2,837
361,731,1,838
362,732,6,844
363,733,5,849
364,734,8,857
365,735,8,865
366,736,1,866
367,738,7,873
368,739,10,883
369,740,6,889
370,741,4,893
371,742,2,895
372,745,3,898
373,746,7,905
374,747,7,912
375,748,12,924
376,749,4,928
377,751,1,929
378,752,6,935
379,753,6,941
380,754,4,945
381,755,11,956
382,756,2,958
383,759,3,961
384,760,5,966
385,761,2,968
386,762,4,972
387,763,10,982
388,766,2,984
389,767,5,989
390,768,4,993
391,769,1,994
392,770,7,1001
393,773,4,1005
394,774,1,1006
395,775,2,1008
396,776,2,1010
397,777,3,1013
398,780,3,1016
399,781,3,1019
400,782,6,1025
401,783,3,1028
402,784,1,1029
403,785,5,1034
404,787,1,1035
405,788,3,1038
406,789,2,1040
407,790,6,1046
408,791,1,1047
409,794,1,1048
410,795,4,1052
411,796,2,1054
412,797,3,1057
413,798,1,1058
414,801,2,1060
415,802,1,1061
416,803,2,1063
417,804,6,1069
418,805,8,1077
419,808,3,1080
420,809,9,1089
421,810,2,1091
422,811,1,1092
423,812,1,1093
424,815,2,1095
425,816,1,1096
426,817,2,1098
427,818,2,1100
428,819,9,1109
429,821,1,1110
430,822,4,1114
431,823,2,1116
432,824,3,1119
433,825,6,1125
434,826,2,1127
435,828,2,1129
436,829,6,1135
437,830,7,1142
438,831,6,1148
439,832,4,1152
440,833,5,1157
441,834,2,1159
442,836,2,1161
443,837,5,1166
444,838,4,1170
445,839,4,1174
446,840,5,1179
447,843,3,1182
448,844,4,1186
449,845,3,1189
450,846,3,1192
451,850,2,1194
452,851,3,1197
453,852,8,1205
454,853,4,1209
455,854,3,1212
456,857,5,1217
457,858,4,1221
458,859,5,1226
459,860,8,1234
460,861,4,1238
461,862,2,1240
462,864,3,1243
463,865,6,1249
464,866,8,1257
465,867,5,1262
466,868,10,1272
467,869,4,1276
468,871,5,1281
469,872,6,1287
470,873,2,1289
471,874,3,1292
472,875,1,1293
473,879,1,1294
474,882,2,1296
475,885,6,1302
476,886,4,1306
477,887,13,1319
478,888,6,1325
479,889,3,1328
480,892,4,1332
481,893,4,1336
482,894,4,1340
483,895,3,1343
484,896,5,1348
485,899,2,1350
486,900,2,1352
487,901,2,1354
488,902,6,1360
489,903,5,1365
490,904,2,1367
491,906,7,1374
492,907,3,1377
493,908,5,1382
494,909,1,1383
495,910,2,1385
496,911,1,1386
497,913,1,1387
498,914,6,1393
499,915,6,1399
500,916,8,1407
501,917,10,1417
502,918,1,1418
503,920,3,1421
504,921,7,1428
505,922,4,1432
506,923,3,1435
507,924,2,1437
508,925,1,1438
509,927,1,1439
510,928,6,1445
511,929,6,1451
512,930,6,1457
513,931,1,1458
514,932,1,1459
515,934,5,1464
516,935,3,1467
517,936,3,1470
518,937,4,1474
519,938,3,1477
520,941,6,1483
521,942,5,1488
522,943,4,1492
523,944,1,1493
